Categoría,Imagen,Código,Nombre,Rango de Cantidad 1,Precio 1,Rango de Cantidad 2,Precio 2,Rango de Cantidad 3,Precio 3
Herramientas,https://www.herramientasyconexiones.com/productos/m/1666278699-136.jpg,4056,Espatula de acero mango plastico 6 pulg , 1 a 23,$14.50, 24 o más,$13.70,,
Herramientas,https://www.herramientasyconexiones.com/productos/m/1619033588-100.jpg,4032,Espatula flexible plastica 3 pulg ,1 ó más,$4.95,,,,
Herramientas,https://www.herramientasyconexiones.com/productos/m/1605710182-110.jpg,4042,Espatula tapizadora 10 pulg. , 1 a 5,$44.70, 6  a 11,$42.00, 12 o más,$40.00
Herramientas,https://www.herramientasyconexiones.com/productos/m/1771456325-146.jpg,30038,Flexometro 3 metros , 1 a 11,$22.20, 12  a 23,$20.80, 24 o más,$19.80
Herramientas,https://www.herramientasyconexiones.com/productos/m/1771456325-146.jpg,30038,Flexometro 3 metros , 1 a 11,$22.20, 12  a 23,$20.80, 24 o más,$19.80
Herramientas,https://www.herramientasyconexiones.com/productos/m/373502588-149.jpg,30120,flexometro 3 mts , 1 a 47,$17.10, 48  a 119,$16.10, 120 o más,$15.30
Herramientas,https://www.herramientasyconexiones.com/productos/m/1778182190-64.jpg,21003,Flexometro 3 mts cinta 19 mm , 1 a 11,$17.10, 12  a 23,$16.10, 24 o más,$15.30
Herramientas,https://www.herramientasyconexiones.com/productos/m/1665514714-126.jpg,30121,Flexometro 5 mts , 1 a 47,$20.80, 48  a 119,$19.50, 120 o más,$18.60
Herramientas,https://www.herramientasyconexiones.com/productos/m/1597497840-37.jpg,MP5M,Flexometro 5 mts IMPACTO cinta de 18 mm , 1 a 23,$20.70, 24  a 47,$19.50, 48 o más,$18.50
Herramientas,https://www.herramientasyconexiones.com/productos/m/1654868773-34.jpg,MP75M,Flexometro 7.5 mts IMPACTO cinta ANCHA ,1 ó más,$36.00,,,,
Herramientas,https://www.herramientasyconexiones.com/productos/m/1778182394-73.jpg,21009,Flexometro 8 mts cinta ANCHA 25 mm , 1 a 11,$52.30, 12  a 23,$49.20, 24 o más,$46.90
Herramientas,https://www.herramientasyconexiones.com/productos/m/1744393752-33.jpg,F952,Flexometro mini 1 mt promocion ,1 ó más,$4.50,,,,
Herramientas,https://www.herramientasyconexiones.com/productos/m/1755274286-65.jpg,FLEX1047,Flexometro reforzado 5 mts CINTA BLANCA , 1 a 11,$20.30, 12  a 23,$19.20, 24 o más,$18.20
Herramientas,https://www.herramientasyconexiones.com/productos/m/1734192266-72.jpg,F0050,Gato de botella 2 ton  , 1 a 2,$147.40, 3  a 5,$139.20, 6 o más,$133.10
Herramientas,https://www.herramientasyconexiones.com/productos/m/1746201504-147.jpg,10615,Grapas para engrapadora tapicero 1/4 , 1 a 11,$19.50, 12 o más,$18.50,,
Herramientas,https://www.herramientasyconexiones.com/productos/m/1746201504-147.jpg,10617,Grapas para engrapadora tapicero 3/8 , 1 a 11,$22.70, 12 o más,$21.60,,
Herramientas,https://www.herramientasyconexiones.com/productos/m/1746201504-147.jpg,10616,Grapas para engrapadora tapicero 5/8 , 1 a 11,$20.70, 12 o más,$19.60,,
Herramientas,https://www.herramientasyconexiones.com/productos/m/1728663302-15.jpg,71448,Hacha multifuncional alta calidad , 1 a 2,$197.00, 3  a 5,$185.20, 6 o más,$176.40
Herramientas,https://www.herramientasyconexiones.com/productos/m/1705591187-103.jpg,HACH1020,Hacha multiusos , 1 a 5,$44.50, 6  a 11,$41.80, 12 o más,$39.80
Herramientas,https://www.herramientasyconexiones.com/productos/m/1764085889-58.jpg,C1040,Kit para instalar chapas  3pzas HAMERMEX , 1 a 11,$34.80, 12  a 23,$32.70, 24 o más,$31.10
Herramientas,https://www.herramientasyconexiones.com/productos/m/1748706906-13.jpg,30127,KIT REPARACION PARA BICICLETA , 1 a 23,$28.20, 24  a 47,$26.50, 48 o más,$25.20
Herramientas,https://www.herramientasyconexiones.com/productos/m/1600784486-68.jpg,30024,Lapiz bicolor GRUESO paq. 12 pzas mina 4 mm , 1 a 23,$38.60, 24  a 47,$36.30, 48 o más,$34.50
